"","Plot","Date","PlotType","Location","Year","Inout","max_points","TotalHits","Total_Percent_Cover","FNA","FNP","GNP","L","SNP","FNB","GIP","SSNP","WL","FNP-Dead","GNP-Dead","SSNP-Dead","FIP","TNP","TNP-Dead","SNP-Dead","FIB"
"1","Grass-14","2022-08-03","GRS","14",2022,0,150,222,148,6,46,55.3333333333333,36,4.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"2","Grass-265","2023-07-24","GRS","265",2023,0,150,294,196,0,57.3333333333333,54.6666666666667,65.3333333333333,16.6666666666667,0.666666666666667,1.33333333333333,0,0,0,0,0,0,0,0,0,0
"3","Grass-43","2023-07-11","GRS","43",2023,0,150,360,240,0,99.3333333333333,64.6666666666667,64.6666666666667,8.66666666666667,0,0,2,0.666666666666667,0,0,0,0,0,0,0,0
"4","Grass-43_1","2023-07-11","GRS","43_1",2023,1,112,248,221.428571428571,0,54.4642857142857,66.0714285714286,75.8928571428571,11.6071428571429,0.892857142857143,0,12.5,0,0,0,0,0,0,0,0,0
"5","Grass-44","2022-07-26","GRS","44",2022,0,150,295,196.666666666667,0,54,55.3333333333333,73.3333333333333,0,0.666666666666667,0,10.6666666666667,0,1.33333333333333,0.666666666666667,0.666666666666667,0,0,0,0,0
"6","Grass-44_1","2023-07-11","GRS","44_1",2023,1,113,170,150.442477876106,0,36.283185840708,61.0619469026549,45.1327433628319,5.30973451327434,0,0,2.65486725663717,0,0,0,0,0,0,0,0,0
"7","Grass-53","2023-07-25","GRS","53",2023,0,150,100,66.6666666666667,5.33333333333333,33.3333333333333,0.666666666666667,20,2,0,0,1.33333333333333,0.666666666666667,0,0,0,0.666666666666667,2.66666666666667,0,0,0
"8","Grass-62","2022-07-13","GRS","62",2022,0,150,146,97.3333333333333,0.666666666666667,45.3333333333333,22.6666666666667,26.6666666666667,0,0,0,1.33333333333333,0,0.666666666666667,0,0,0,0,0,0,0
"9","Grass-62","2023-07-24","GRS","62",2023,0,150,233,155.333333333333,0,64.6666666666667,31.3333333333333,57.3333333333333,1.33333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"10","OpenConifer-13","2022-08-02","OC","13",2022,0,150,224,149.333333333333,2.66666666666667,42.6666666666667,46,44,6,0,0,0,1.33333333333333,0,0,0,1.33333333333333,5.33333333333333,0,0,0
"11","OpenConifer-13_1","2023-07-18","OC","13_1",2023,1,112,271,241.964285714286,21.4285714285714,58.9285714285714,56.25,66.9642857142857,38.3928571428571,0,0,0,0,0,0,0,0,0,0,0,0
"12","OpenConifer-22_1","2023-07-18","OC","22_1",2023,1,112,273,243.75,45.5357142857143,62.5,24.1071428571429,62.5,49.1071428571429,0,0,0,0,0,0,0,0,0,0,0,0
"13","OpenConifer-33_1","2023-07-13","OC","33_1",2023,1,112,110,98.2142857142857,23.2142857142857,19.6428571428571,5.35714285714286,16.0714285714286,33.9285714285714,0,0,0,0,0,0,0,0,0,0,0,0
"14","OpenConifer-51","2022-07-19","OC","51",2022,0,150,289,192.666666666667,0,57.3333333333333,44,60,4.66666666666667,0,0,0,6.66666666666667,0,0,0,0,16,4,0,0
"15","OpenConifer-52","2023-07-05","OC","52",2023,0,150,232,154.666666666667,5.33333333333333,24,38.6666666666667,48,13.3333333333333,0,0,2,12,0,0,0,0,11.3333333333333,0,0,0
"16","OpenConifer-55","2023-07-20","OC","55",2023,0,150,261,174,6,55.3333333333333,13.3333333333333,48,16.6666666666667,0,0,0,16.6666666666667,0,0,0,0,18,0,0,0
"17","OpenConifer-6","2022-07-20","OC","6",2022,0,150,276,184,5.33333333333333,66.6666666666667,38,51.3333333333333,6.66666666666667,0,0,0,2,0,0,0,0,14,0,0,0
"18","Sagebrush-24","2022-07-29","SAGE","24",2022,0,150,116,77.3333333333333,8.66666666666667,18.6666666666667,10,20,19.3333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"19","Sagebrush-3","2022-07-27","SAGE","3",2022,0,150,220,146.666666666667,4,20.6666666666667,16,46,56.6666666666667,0,0,2.66666666666667,0,0,0,0,0,0,0,0.666666666666667,0
"20","Sagebrush-34","2023-07-05","SAGE","34",2023,0,150,268,178.666666666667,9.33333333333333,38,20,50.6666666666667,39.3333333333333,0,0,0,7.33333333333333,0,0,0,0.666666666666667,13.3333333333333,0,0,0
"21","Sagebrush-3_1","2023-07-12","SAGE","3_1",2023,1,111,222,200,19.8198198198198,33.3333333333333,28.8288288288288,39.6396396396396,68.4684684684685,0,0,0,9.90990990990991,0,0,0,0,0,0,0,0
"22","Sagebrush-47","2023-07-10","SAGE","47",2023,0,150,199,132.666666666667,26.6666666666667,32.6666666666667,7.33333333333333,26.6666666666667,13.3333333333333,0,0,0,14.6666666666667,0,0,0,0,11.3333333333333,0,0,0
"23","Sagebrush-54","2023-07-25","SAGE","54",2023,0,150,382,254.666666666667,0,90.6666666666667,61.3333333333333,78.6666666666667,23.3333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0
"24","Sagebrush-5_1","2023-07-12","SAGE","5_1",2023,1,112,274,244.642857142857,20.5357142857143,46.4285714285714,28.5714285714286,59.8214285714286,75.8928571428571,0,0,6.25,7.14285714285714,0,0,0,0,0,0,0,0
"25","Sagebrush-61","2022-07-12","SAGE","61",2022,0,150,330,220,0.666666666666667,63.3333333333333,48.6666666666667,86.6666666666667,13.3333333333333,0,5.33333333333333,0,0,0.666666666666667,0,0,0,0,0,1.33333333333333,0
"26","TallForb-12","2022-08-03","PTF","12",2022,0,150,232,154.666666666667,0,76.6666666666667,26,42.6666666666667,8.66666666666667,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0
